date,TAI_clear_mean,TAI_clear_max,TAI_clear_p95,TAI_clear_p99,TAI_clear_pixels,TAI_clear_ratio,TAI_mean,TAI_std,TAI_max,TAI_p95,TAI_p99,TAI_above_0.5,TAI_above_1.0,TAI_above_1.5,TAI_above_2.0,NHI_SWIR_clear_mean,NHI_SWIR_clear_max,NHI_SWIR_clear_p95,NHI_SWIR_clear_p99,NHI_SWIR_clear_pixels,NHI_SWIR_clear_ratio,NHI_SWIR_mean,NHI_SWIR_std,NHI_SWIR_max,NHI_SWIR_p95,NHI_SWIR_p99,NHI_SWIR_above_0.5,NHI_SWIR_above_1.0,NHI_SWIR_above_1.5,NHI_SWIR_above_2.0,NHI_SWNIR_clear_mean,NHI_SWNIR_clear_max,NHI_SWNIR_clear_p95,NHI_SWNIR_clear_p99,NHI_SWNIR_clear_pixels,NHI_SWNIR_clear_ratio,NHI_SWNIR_mean,NHI_SWNIR_std,NHI_SWNIR_max,NHI_SWNIR_p95,NHI_SWNIR_p99,NHI_SWNIR_above_0.5,NHI_SWNIR_above_1.0,NHI_SWNIR_above_1.5,NHI_SWNIR_above_2.0
2022-01-01,-0.0026063360273838043,0.012336060404777527,0.007738719694316387,0.009878819808363914,2834.0,0.08109654896125451,-0.0036487909965217113,0.005455152131617069,0.016488589346408844,0.005529225803911686,0.009999999776482582,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,,,,,,,,,,,,,,,,-0.47791197896003723,-0.4658574163913727,-0.46957632899284363,-0.4678080976009369,2834.0,0.08109654896125451,-0.4787577986717224,0.00436735525727272,-0.4620230197906494,-0.47136715054512024,-0.4677428603172302,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7777194976806641,-0.7710111141204834,-0.7739538550376892,-0.7731273174285889,2834.0,0.08109654896125451,-0.7776665687561035,0.0031805122271180153,-0.7670319080352783,-0.7726941704750061,-0.770948588848114,0.0,0.0,0.0,0.0
2022-01-04,,,,,,,0.018386999145150185,0.013657508417963982,0.06322933733463287,0.03865358605980873,0.048450734466314316,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-04,,,,,,,,,,,,,,,,,,,,,,-0.44532909989356995,0.02423730120062828,-0.33513492345809937,-0.40396231412887573,-0.3824866712093353,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8804717063903809,0.02120859920978546,-0.8389593958854675,-0.8487587571144104,-0.8438066244125366,0.0,0.0,0.0,0.0
2022-01-06,,,,,,,-0.14200559258460999,0.059986136853694916,1.1388983726501465,-0.058662280440330505,0.003013863693922758,20.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-06,,,,,,,,,,,,,,,,,,,,,,-0.5627291202545166,0.0468190535902977,-0.2060551643371582,-0.5078850388526917,-0.47444725036621094,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.68861323595047,0.04070170223712921,-0.48634061217308044,-0.6384099125862122,-0.6241762042045593,0.0,0.0,0.0,0.0
2022-01-09,,,,,,,-0.17473085224628448,0.01862175390124321,-0.09046214073896408,-0.14511148631572723,-0.13025569915771484,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-09,,,,,,,,,,,,,,,,,,,,,,-0.6032112240791321,0.013865651562809944,-0.5528655648231506,-0.5827593207359314,-0.5745324492454529,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7399764657020569,0.01074912678450346,-0.7105639576911926,-0.7248851656913757,-0.7196826934814453,0.0,0.0,0.0,0.0
2022-01-11,,,,,,,-0.22746418416500092,0.01648053340613842,-0.1583929806947708,-0.19243136048316956,-0.17865891754627228,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-11,,,,,,,,,,,,,,,,,,,,,,-0.663590669631958,0.022588172927498817,-0.6236387491226196,-0.6364928483963013,-0.6316553950309753,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7567512392997742,0.029530441388487816,-0.7109747529029846,-0.7230287194252014,-0.7179836630821228,0.0,0.0,0.0,0.0
2022-01-14,,,,,,,,,,,,,,,,-0.5598092675209045,0.4478636384010315,-0.4800880551338196,-0.2814761698246002,34946.0,1.0,-0.5598092675209045,0.08607232570648193,0.4478636384010315,-0.4800880551338196,-0.2814761698246002,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
2022-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6591362953186035,0.508428156375885,-0.5552734136581421,-0.4430958032608032,34946.0,1.0,-0.6591362953186035,0.07679063826799393,0.508428156375885,-0.5552734136581421,-0.4430958032608032,4.0,0.0,0.0,0.0
2022-01-14,-0.10726474225521088,22.19076919555664,-0.009732360020279884,0.7494823932647705,34946.0,1.0,-0.10726474225521088,0.6555778384208679,22.19076919555664,-0.009732360020279884,0.7494823932647705,394.0,313.0,257.0,217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
